15:29:58;705;1023;714;
15:29:59;710;1023;714;
15:30:00;713;1023;714;
15:30:01;714;1023;714;
15:30:02;714;1023;714;
15:30:03;714;1023;714;
15:30:04;714;1023;714;
15:30:05;714;1023;714;
15:30:06;714;1023;714;
15:30:07;714;1023;714;
15:30:08;714;1023;714;
15:30:09;714;1023;714;
15:30:10;714;1023;714;
15:30:11;714;1023;714;
15:30:12;714;1023;714;
15:30:13;714;1023;714;
15:30:14;714;1023;714;
15:30:15;714;1023;714;
15:30:16;714;1023;714;
15:30:20;723;1023;714;
15:30:21;715;1023;714;
15:30:22;714;1023;714;
15:30:23;714;1023;714;
15:30:24;714;1023;714;
15:30:25;714;1023;714;
15:30:26;714;1023;714;
15:30:27;714;1023;714;
15:30:28;714;1023;714;
15:30:29;714;1023;714;
15:30:30;714;1023;714;
15:30:31;714;1023;714;
15:30:48;714;1023;714;;696
15:30:49;714;1023;714;;700
15:30:49;714;1023;714;;704
15:30:50;714;1023;714;;700
15:30:50;714;1023;714;;700
15:30:51;714;1023;714;;700
15:30:51;714;1023;714;;700
15:30:52;714;1023;714;;700
15:30:52;714;1023;714;;700
15:30:56;714;1023;714;;700
15:30:56;714;1023;714;;704
15:30:57;714;1023;714;;704
15:30:57;714;1023;714;;704
15:30:58;714;1023;714;;704
15:30:58;714;1023;714;;704
15:30:59;714;1023;714;;700
15:30:59;714;1023;714;;704
15:31:00;714;1023;714;;700
15:31:00;714;1023;714;;700
15:31:01;714;1023;714;;704
15:31:01;714;1023;714;;700
15:31:02;714;1023;714;;700
15:31:02;714;1023;714;;704
15:31:03;714;1023;714;;700
15:31:03;714;1023;714;;700
15:31:04;714;1023;714;;704
15:31:04;714;1023;714;;172260
15:31:05;714;1023;714;;5476
15:31:05;714;1023;714;;10508
15:31:06;714;1023;714;;13448
15:31:06;714;1023;714;;13464
15:31:07;714;1023;714;;13420
15:31:08;714;1023;714;;13392
15:31:08;714;1023;714;;199356
15:31:09;714;1023;714;;840
15:31:09;714;1023;714;;836
15:31:10;714;1023;714;;956
15:31:10;714;1023;714;;828
15:31:11;714;1023;714;;836
15:31:11;714;1023;714;;1028
15:31:12;714;1023;714;;1216
15:31:12;714;1023;714;;199032
15:31:13;714;1023;714;;1272
15:31:13;714;1023;714;;1344
15:31:14;714;1023;713;;1376
15:31:14;714;1023;713;;1420
15:31:15;714;1023;714;;199640
15:31:15;714;1023;714;;2696
15:31:16;714;1023;713;;11168
15:31:16;714;1023;713;;10512
15:31:17;714;1023;714;;4908
15:31:17;714;1023;714;;4888
15:31:18;714;1023;714;;4792
15:31:19;714;1023;714;;4840
15:31:19;714;1023;714;;4792
15:31:20;714;1023;714;;4888
15:31:20;714;1023;714;;4840
15:31:21;714;1023;714;;4888
15:31:21;714;1023;714;;4956
15:31:22;714;1023;714;;10656
15:31:22;714;1023;714;;10528
15:31:23;714;1023;714;;10560
15:31:23;714;1023;714;;10528
15:31:24;714;1023;714;;10556
15:31:24;714;1023;714;;10552
15:31:25;714;1023;714;;10580
15:31:25;714;1023;714;;10484
15:31:26;714;1023;714;;10532
15:31:26;714;1023;714;;10560
15:31:27;714;1023;714;;10556
15:31:27;714;1023;714;;5068
15:31:28;714;1023;714;;5064
15:31:28;714;1023;714;;10512
15:31:29;714;1023;714;;10580
15:31:29;714;1023;714;;10580
15:31:30;714;1023;714;;10608
15:31:30;714;1023;714;;10608
15:31:31;714;1023;714;;10532
15:31:31;714;1023;714;;10528
15:31:32;714;1023;713;;10508
15:31:32;714;1023;713;;10556
15:31:33;714;1023;714;;10504
15:31:33;714;1023;714;;10556
15:31:34;714;1023;713;;10528
15:31:34;714;1023;713;;10528
15:31:35;714;1023;713;;10556
15:31:35;714;1023;713;;10552
15:31:36;714;1023;714;;10504
15:31:36;714;1023;714;;10524
15:31:37;714;1023;714;;10504
15:31:37;714;1023;714;;10532
15:31:38;714;1023;714;;10556
15:31:38;714;1023;714;;10584
15:31:39;714;1023;714;;10552
15:31:39;714;1023;714;;10532
15:31:40;714;1023;714;;10576
15:31:40;714;1023;714;;5036
15:31:41;714;1023;714;;10556
15:31:41;714;1023;714;;10532
15:31:42;714;1023;713;;10584
15:31:42;714;1023;713;;10532
15:31:43;714;1023;713;;10532
15:31:43;714;1023;713;;10532
15:31:44;714;1023;714;;10632
15:31:44;714;1023;714;;10564
15:31:45;714;1023;714;;10528
15:31:45;714;1023;714;;10640
15:31:46;714;1023;714;;10508
15:31:46;714;1023;714;;10532
15:31:47;714;1023;714;;10532
15:31:47;714;1023;714;;10556
15:31:48;714;1023;714;;10612
15:31:48;714;1023;714;;10536
15:31:49;714;1023;714;;10512
15:31:50;714;1023;714;;10632
15:31:50;714;1023;714;;10636
15:31:51;714;1023;714;;5012
15:31:51;714;1023;714;;10636
15:31:52;714;1023;714;;10536
15:31:52;714;1023;714;;10532
15:31:53;714;1023;713;;10484
15:31:53;714;1023;713;;10560
15:31:54;714;1023;714;;5068
15:31:54;714;1023;714;;5020
15:31:55;714;1023;714;;10536
15:31:55;714;1023;714;;10560
15:31:56;714;1023;714;;10584
15:31:56;714;1023;714;;10612
15:31:57;714;1023;714;;10532
15:31:57;714;1023;714;;10588
15:31:58;714;1023;714;;10512
15:31:58;714;1023;714;;10560
15:31:59;714;1023;714;;10536
15:31:59;714;1023;714;;10556
15:32:00;714;1023;714;;10560
15:32:00;714;1023;714;;10512
15:32:01;714;1023;714;;10584
15:32:01;714;1023;714;;5040
15:32:02;714;1023;714;;10588
15:32:02;714;1023;714;;10532
15:32:03;714;1023;714;;10508
15:32:03;714;1023;714;;10664
15:32:04;714;1023;714;;10536
15:32:04;714;1023;714;;10532
15:32:05;713;1023;714;;10532
15:32:05;713;1023;714;;10508
15:32:06;713;1023;714;;10536
15:32:06;713;1023;714;;10532
15:32:07;714;1023;713;;10512
15:32:07;714;1023;713;;10532
15:32:08;714;1023;714;;10584
15:32:08;714;1023;714;;10532
15:32:09;714;1023;713;;10556
15:32:09;714;1023;713;;10608
15:32:10;714;1023;713;;10532
15:32:10;714;1023;713;;10536
15:32:11;714;1023;714;;10560
15:32:11;714;1023;714;;10684
15:32:12;714;1023;714;;10532
15:32:12;714;1023;714;;10536
15:32:13;714;1023;714;;10508
15:32:13;714;1023;714;;10668
15:32:14;714;1023;713;;10588
15:32:14;714;1023;713;;10536
15:32:15;714;1023;714;;10584
15:32:15;714;1023;714;;10508
15:32:16;713;1023;714;;10508
15:32:16;713;1023;714;;5016
15:32:17;714;1023;713;;10540
15:32:17;714;1023;713;;10584
15:32:18;714;1023;714;;10564
15:32:18;714;1023;714;;10532
15:32:19;714;1023;714;;10588
15:32:20;714;1023;714;;10532
15:32:20;714;1023;714;;10508
15:32:21;714;1023;714;;10532
15:32:21;714;1023;714;;10588
15:32:22;714;1023;713;;10560
15:32:22;714;1023;713;;4960
15:32:23;714;1023;714;;10560
15:32:23;714;1023;714;;10528
15:32:24;714;1023;714;;10560
15:32:24;714;1023;714;;10636
15:32:25;714;1023;714;;10532
15:32:25;714;1023;714;;10560
15:32:26;714;1023;714;;10612
15:32:26;714;1023;714;;10532
15:32:27;714;1023;714;;10560
15:32:27;714;1023;714;;10560
15:32:28;714;1023;713;;5068
15:32:28;714;1023;713;;10564
15:32:29;714;1023;714;;10592
15:32:29;714;1023;714;;10532
15:32:30;714;1023;714;;10536
15:32:30;714;1023;714;;10536
15:32:31;713;1023;713;;10564
15:32:31;713;1023;713;;10536
15:32:32;713;1023;713;;10536
15:32:32;713;1023;713;;10612
15:32:33;714;1023;714;;10536
15:32:33;714;1023;714;;10512
15:32:34;714;1023;713;;10588
15:32:34;714;1023;713;;5068
15:32:35;713;1023;713;;10536
15:32:35;713;1023;713;;4992
15:32:36;714;1023;713;;10556
15:32:36;714;1023;713;;10668
15:32:37;714;1023;713;;5040
15:32:37;714;1023;713;;10508
15:32:38;713;1023;713;;10532
15:32:38;713;1023;713;;10588
15:32:39;713;1023;713;;10588
15:32:39;713;1023;713;;10556
15:32:40;713;1023;714;;10560
15:32:40;713;1023;714;;10528
15:32:41;713;1023;713;;10508
15:32:41;713;1023;713;;10532
15:32:42;713;1023;714;;10532
15:32:42;713;1023;714;;10536
15:32:43;713;1023;714;;10536
15:32:43;713;1023;714;;10560
15:32:44;713;1023;713;;10512
15:32:44;713;1023;713;;10660
15:32:45;713;1023;713;;10584
15:32:45;713;1023;713;;10508
15:32:46;713;1023;713;;10536
15:32:46;713;1023;713;;10564
15:32:47;713;1023;713;;10560
15:32:47;713;1023;713;;10564
15:32:48;713;1023;713;;10560
15:32:48;713;1023;713;;10684
15:32:49;713;1023;714;;10664
15:32:50;713;1023;714;;10588
15:32:50;713;1023;714;;10560
15:32:51;713;1023;713;;10660
15:32:51;713;1023;713;;5020
15:32:52;713;1023;714;;10584
15:32:52;713;1023;714;;4992
15:32:53;713;1023;713;;10584
15:32:53;713;1023;713;;4520
15:32:54;713;1023;714;;10656
15:32:54;713;1023;714;;10556
15:32:55;713;1023;714;;10552
15:32:55;713;1023;714;;10532
15:32:56;713;1023;714;;10556
15:32:56;713;1023;714;;10552
15:32:57;713;1023;713;;10556
15:32:57;713;1023;713;;10532
15:32:58;713;1023;713;;10560
15:32:58;713;1023;713;;10532
15:32:59;713;1023;714;;5012
15:32:59;713;1023;714;;10556
15:33:00;713;1023;714;;10564
15:33:00;713;1023;714;;10532
15:33:01;713;1023;713;;10560
15:33:01;713;1023;713;;10584
15:33:02;713;1023;713;;10584
15:33:02;713;1023;713;;10588
15:33:03;713;1023;714;;10536
15:33:03;713;1023;714;;10560
15:33:04;713;1023;713;;10584
15:33:04;713;1023;713;;10560
15:33:05;713;1023;714;;10608
15:33:05;713;1023;714;;10560
15:33:06;713;1023;714;;10584
15:33:06;713;1023;714;;10524
15:33:07;713;1023;713;;10532
15:33:07;713;1023;713;;10556
15:33:08;713;1023;714;;10556
15:33:08;713;1023;714;;10532
15:33:09;713;1023;714;;5044
15:33:09;713;1023;714;;10560
15:33:10;713;1023;713;;10560
15:33:10;713;1023;713;;10636
15:33:11;713;1023;714;;10532
15:33:11;713;1023;714;;10536
15:33:12;713;1023;714;;10560
15:33:12;713;1023;714;;10536
15:33:13;713;1023;714;;10560
15:33:13;713;1023;714;;10536
15:33:14;713;1023;714;;10536
15:33:14;713;1023;714;;4992
15:33:15;713;1023;714;;10532
15:33:15;713;1023;714;;10536
15:33:16;713;1023;714;;10556
15:33:16;713;1023;714;;5040
15:33:17;713;1023;713;;10560
15:33:17;713;1023;713;;10532
15:33:18;713;1023;714;;10612
15:33:18;713;1023;714;;10532
